0,1,2,3,4,5,6,7,8,9
-9.624389632413921,0.0,-9.999999999999996,0.0,-10.0,0.0,-9.27662037037037,-9.99934283210087,-8.75,-9.698591820987655
-9.964893998057605,-18.859253637482105,-9.964893998057605,-10.0,-9.984301657343106,-10.0,-11.718894588872178,-9.973836095571844,-9.968603314686215,-9.968603314686213
0.0,-18.962380959082008,0.0,-10.0,0.0,-10.0,-18.804369366979437,-10.0,-10.0,-10.0
-4.212962962962964,-18.836196742517856,0.0,0.0,0.0,-10.0,-18.804369366979437,-10.0,-10.0,-9.999917854012608
0.0,-18.920633553570365,-9.999999997812802,-10.0,0.0,-9.999999999999897,-18.763289914260632,0.0,-9.999999996113175,0.0
0.0,-16.43230186423878,-9.999236910978354,-10.0,-7.5,0.0,0.0,-9.984301657343106,0.0,0.0
-9.782632889128426,-10.267535144510521,-9.818860740940355,-9.849295910493828,-9.874413258744855,-10.0,-18.804369364414264,-9.849295910493826,-10.0,-10.0
-5.981224279835391,0.0,0.0,0.0,-10.0,-9.999999999999975,-18.740701466208378,-10.0,-9.99999999838049,-10.0
-8.654120142584619,0.0,-9.999999639452183,-10.0,-10.0,0.0,0.0,-9.999999999999996,0.0,-9.999975356203784
-3.055555555555556,0.0,-9.999999826124702,-9.999999999325203,-10.0,-9.27662037037037,0.0,0.0,0.0,0.0
