0,1,2,3,4,5,6,7,8,9
-1.5000000223517418,0.0,-1.5000000223517418,-4.860000056326388,-8.999983540947563,-7.959150057499855,-8.2095186156363,-3.8587500484474,0.0,0.0
0.0,-1.5000000223517418,-6.794229176197139,-3.321750038903206,-8.571405049373208,-7.599000061333179,-9.477985163762554,-2.7750000379979607,-2.7750000379979607,0.0
-7.599000061333179,-6.570000065714121,-1.5000000223517418,-1.5000000223517418,-7.825844025105226,-8.999983540947563,-7.08450006352365,-4.0500000536441805,-5.505000063925981,-6.570000065714121
-6.570000065714121,-6.570000065714121,-6.662250064507125,-7.977841676767108,-6.459750063836573,-5.835000064149499,-9.299988483133715,-9.404983542288667,-6.990787562174164,-7.08450006352365
-7.08450006352365,-7.599000061333179,-1.5000000223517418,-7.2369563129103724,0.0,-6.8940628731722935,-9.634589616967377,-4.05000005364418,-6.622725063680111,-1.5000000223517418
-4.0500000536441805,-7.521825060511752,-4.942500058896838,-2.2877250218823546,-4.942500058896839,0.0,-7.825844025105226,-7.08450006352365,-4.0500000536441805,-4.942500058896839
-8.265277553436531,-9.36612483933046,-9.80114066656066,-13.620721665894033,-9.09446405040343,-6.459750063836573,0.0,-4.733300865527934,-11.7476553331458,-6.3459563117704345
-4.942500058896838,-6.459750063836575,-7.331816312347444,-11.686501003837773,-7.599000061333179,-6.459750063836573,-4.942500058896838,-6.431004903926071,-1.8746250231396404,-5.835000064149499
-5.562946933338743,-2.7750000379979607,-4.0500000536441805,-2.7750000379979607,-9.717524769039468,-8.571405049373208,-9.556287390364966,-4.779937554907053,-6.431004903926071,-7.35995344913876
-2.7750000379979607,-2.7750000379979607,-5.937571934126643,-8.176950062461941,-9.14998601204064,-3.0000000447034836,-9.277488112134472,0.0,-4.55180629906766,0.0
