0,1,2,3,4,5,6,7,8,9
0.0,-1.0000000149011612,-1.0000000149011612,0.0,0.0,-4.68559005279392,-1.0000000149011612,-5.2170310554336154,-1.0000000149011612,0.0
-1.0000000149011612,-1.0000000149011612,-1.0000000149011612,-9.892247371028331,-9.93637315064525,-1.9000000268220902,-1.9000000268220902,-1.9000000268220902,-2.7100000362098218,-9.353891838890867
-1.0000000149011612,0.0,0.0,-9.999999999999993,-9.999999999999993,-8.499053691761695,-2.7100000362098218,-6.513215656730151,-8.499053691761695,-9.99999999997853
0.0,0.0,0.0,-5.695327957017433,-9.999382963574817,-9.995432241477575,-6.86189409625285,-9.998566589001387,-9.996300115609088,-9.977814689785825
0.0,0.0,0.0,-9.999980931629135,-9.999976458801322,0.0,-9.998955043387202,-1.9000000268220902,-9.999734386055101,-9.966186083887973
0.0,0.0,0.0,-1.9000000268220902,-9.852191180374646,0.0,0.0,-8.784233494352824,0.0,-1.0000000149011612
0.0,0.0,0.0,-1.0000000149011612,-1.9000000268220902,-2.7100000362098218,-3.4390000434517862,-3.4390000434517862,-1.0000000149011612,-1.0000000149011612
0.0,0.0,0.0,-3.4390000434517862,0.0,-8.905810146729175,-9.015229133686727,0.0,-8.499053691761695,-1.9000000268220902
0.0,0.0,0.0,0.0,0.0,-9.77471601797858,0.0,-1.9000000268220902,0.0,0.0
0.0,0.0,0.0,-1.9000000268220902,0.0,0.0,-1.0000000149011612,0.0,0.0,0.0
